maincate,subcate,title,ranking,oprice,sprice,Fed
ALL,ALL,아동팬티.속옷.런닝.삼각.쥬니어.드로즈.여아.남아동,54,19600,5900,무료배송
ALL,ALL,[썬업]매일 과일야채샐러드 4종혼합팩 200mlx24팩/쥬스,55,15000,13900,무료배송
ALL,ALL,행주의 중독 20P,56,5900,5850,무료배송
ALL,ALL,[켈로그]후르트링 2박스+디스펜서(민트)+비치볼,57,24900,22900,스마일배송
스포츠/자동차,ALL,[나우] 마모트 F/W 프리미엄 덕다운 캐주얼 경량 패딩 자켓 2종택1 1MMPAW9001,8,50000,34000,무료배송
스포츠/자동차,ALL,[네파]네파 SS 인기 티셔츠/팬츠 클리어런스 SALE,9,50000,20000,유료배송
스포츠/자동차,ALL,[아이더](신세계강남점)(JMW19515/JWW19516) 아이더 (보노보/도노도) 키즈 구스 다운 ,10,119000,95200,무료배송
스포츠/자동차,ALL,[슬레진저]튼튼한 스판덱스 남성 드로즈팬티 10종세트 추가할인,11,49000,27900,무료배송
스포츠/자동차,ALL,[아디다스]나이키 아디다스外 인기 반팔티 반바지 단체복 모음,12,26000,9900,유료배송
스포츠/자동차,ALL,앵콜행사 푸마 트레이닝복 상/하의반팔티셔츠 특가,13,73000,21900,무료배송
패션의류,ALL,여성팬티/노라인/위생/엉뽕팬티/오늘하루 찐 초특가,1,6900,6900,무료배송
e쿠폰/티켓,외식,[KFC](KFC) 징거치킨2인팩,1,20200,11500,유료배송
가구/침구,ALL,[비트백]액자형 DIY 보석십자수 명화그리기/비즈/그림/큐빅,11,21800,20760,무료배송
가구/침구,ALL,은남침구2020 여름이불/일본수출 쿨소재/아사면/인견,12,60000,39500,무료배송
가구/침구,ALL,[퍼스퍼코리아]무료반품 랭킹1위 컴퓨터 학생 사무용 공부 책상의자,13,40000,34140,유료배송
가구/침구,ALL,(1+1)항균 누빔 스프레드 침대패드 이불패드 여름이불,14,73000,21900,무료배송
가구/침구,ALL,나코자요 마약 다리베개 베게 바디필로우 무중력베개,15,49800,49800,무료배송
가구/침구,ALL,일루션 암막커튼 최대 1+1 (2장) 베스트셀러전,16,24000,14900,무료배송
가구/침구,ALL,스마트 탁상시계_블랙 심플 인테리어 LED 전자시계,17,13900,5900,무료배송
